@relation ArabicTextComplexity

@attribute avgSentenceLength numeric
@attribute avgWordLength numeric
@attribute typeTokenRatio numeric
@attribute longWordRatio numeric
@attribute consonantClusterRatio numeric
@attribute complexityLevel {A,B,C,A+,B+}

@data
4,4,1,0,2.5,A
4,5.75,1,0.5,3,A
3,4.666667,1,0.333333,2.666667,A
4,4.25,1,0,1.75,A
4,5.25,1,0.5,2.25,A
5,4.2,1,0,2.4,A
6,4.333333,1,0,1.833333,A
5,4.2,1,0,1.6,A
5,4.6,1,0.2,2,A
4,4.25,1,0,1.5,A
4,5.25,1,0.25,2.25,A
3,6,1,0.333333,2.666667,A
4,5.75,1,0.5,2,A
3,5,1,0.333333,2.333333,A
4,4.5,1,0,1.75,A
4,4.25,1,0,1.75,A
3,4.333333,1,0.333333,1,A
3,5.666667,1,0.333333,1.333333,A
4,4.75,1,0.25,1,A
4,5.5,1,0,2,A
4,5,1,0,2.5,A
3,5,1,0,1.333333,A
3,4.666667,1,0,1.333333,A
4,3.75,1,0,1,A
4,4.25,1,0,1.5,A
4,4.25,1,0,0.75,A
3,4.666667,1,0,1.666667,A
6,4,1,0,1.333333,A
5,4,1,0,1,A
4,4.5,1,0.25,0.75,A
4,4.75,1,0.25,1.25,A
3,4.333333,1,0,2,A
3,5,1,0,2,A
3,6.333333,1,0.666667,2.333333,A
3,4.666667,1,0,1,A
4,5.5,1,0.5,2.5,A
3,5.666667,1,0.333333,2.333333,A
4,5.25,1,0.25,2.25,A
3,6.333333,1,0.333333,1.666667,A
4,5.25,1,0.25,1.5,A
4,5.25,1,0.25,2,A
3,3.666667,1,0,1.666667,A
4,4.75,1,0,2.75,A
3,6.333333,1,0.666667,2.666667,A
3,5.333333,1,0.333333,3.333333,A
3,6,1,0.666667,3,A
3,4.666667,1,0.333333,2.666667,A
3,5,1,0,1.666667,A
3,5.666667,1,0.333333,1,A
4,3.75,1,0,1,A
4,4.25,1,0,1.25,A
4,4.5,1,0,2.25,A
3,5.666667,1,0.333333,0.666667,A
4,5,1,0,2.25,A
4,4.25,1,0,0.75,A
3,5.666667,1,0.333333,2,A
3,5.333333,1,0.333333,1,A
3,5.333333,1,0.333333,1.666667,A
3,4.666667,1,0,2.666667,A
3,5,1,0,1,A
3,6,1,0,2.666667,A
5,4.2,1,0.2,0.8,A
3,6.333333,1,0.333333,2.333333,A
4,4,1,0,1.25,A
4,5,1,0.25,2,A
4,6.75,1,0.75,1.75,A
3,5,1,0.333333,1.666667,A
3,6,1,0.333333,1.333333,A
5,4.8,1,0.2,1.2,A
5,5.6,1,0.4,1.6,A
5,5,1,0.4,1.6,A
5,6.4,1,0.6,1.6,B
5,4.4,1,0.2,1.6,B
5,6.4,1,0.6,1.8,B
5,5.6,1,0.4,1.4,B
4,6.25,1,0.5,2.25,B
6,5,1,0.166667,2.333333,B
5,6,1,0.4,2.4,C
5,4.6,1,0.2,0.6,B
6,4.5,1,0.166667,1.333333,B
6,5.333333,1,0.166667,1.333333,B
4,5.75,1,0.5,2.25,B
6,5.833333,1,0.5,2,B
4,5.75,1,0.5,2.5,B
6,3.666667,1,0,1.666667,B
5,5.8,1,0.2,2.4,B
6,5.666667,1,0.166667,2.166667,B
5,5.6,1,0.4,1.8,B
5,5,1,0,1.8,B
5,5.8,1,0.2,2,B
5,4.4,1,0,1.4,B
5,5,1,0.2,2,B
6,5.333333,1,0.333333,2.333333,B
6,5.166667,1,0.166667,1.833333,B
5,5.4,1,0.4,1.8,B
5,5.2,1,0,1.4,B
4,6.75,1,0.5,2.75,B
5,4.4,1,0,1.6,B
4,7,1,0.75,3,B
5,6.2,1,0.2,2,B
6,5.333333,1,0.333333,2.166667,B
4,5,1,0,2,B
4,5.5,1,0.5,1.25,B
5,6,1,0.4,1.8,B
4,6.75,1,0.75,2.25,B
4,5.5,1,0.25,2,B
4,5,1,0,2,B
5,5,1,0.2,1.8,B
6,6.166667,1,0.5,1.666667,B
5,5.2,1,0.4,1.6,B
5,5.2,1,0.2,2.2,B
3,5.333333,1,0,1.333333,B
4,5.75,1,0.25,2.75,B
4,5,1,0.25,1,B
4,5,1,0,2,B
5,5,1,0,1.4,B
5,5.4,1,0.4,1.2,B
4,5.5,1,0.25,1.75,B
4,5.5,1,0.25,2.25,B
5,6.8,1,0.6,2.2,B
4,6,1,0.25,1.25,B
4,6.5,1,0.5,2.5,B
6,4.5,1,0.166667,0.833333,B
5,4.8,1,0.2,2.2,B
4,6.25,1,0.5,1.5,B
4,5.25,1,0.25,1.5,B
5,6.6,1,0.6,3,B
6,5.666667,1,0.166667,2,B
5,5,1,0.2,2.2,B
5,5.8,1,0.4,2.6,B
6,4.666667,1,0.166667,1.666667,B
3,5.666667,1,0.333333,1.333333,B
5,5.8,1,0.6,2.6,B
4,6.5,1,0.5,2.5,B
5,6.4,1,0.4,3.2,B
6,5.166667,1,0.166667,2.833333,B
5,7,1,0.6,2.4,B
4,6.25,1,0.25,2,B
4,5.5,1,0.5,3.25,B
4,7,1,0.75,3.75,B
6,4.166667,1,0,1.833333,B
3,3.333333,1,0,0.333333,B
4,4.5,1,0.25,2.5,B
3,4.333333,1,0,1,B
5,4.6,1,0.2,1.8,B
4,3.25,1,0,1.25,B
5,4.6,1,0,2,B
5,4.6,1,0.2,1.8,B
4,4,1,0,1.25,B
4,4,1,0,1.25,B
5,3.8,1,0,2.2,B
3,5,1,0,0.333333,B
5,5,1,0.2,1.8,B
5,4.6,1,0.2,1.6,B
6,5.166667,1,0,2.5,B
4,4.75,1,0,1.75,B
4,5.25,1,0.25,2.25,B
5,5.4,1,0.2,2.8,B
4,6,1,0.5,2.5,B
5,5.2,1,0.4,2,B
4,5.25,1,0,2.25,B
6,3.833333,1,0.166667,1.833333,B
5,5.6,1,0.2,1.8,B
5,4.8,1,0.2,2,B
4,5.75,1,0.25,2.25,B
5,5.4,1,0.2,2.8,B
5,6.2,1,0.6,2.8,B
4,4.5,1,0,2.5,B
4,5.25,1,0.25,2,B
5,4.2,1,0.2,1.8,B
5,5.6,1,0.2,2,B
4,6.25,1,0.5,3,B
6,6,1,0.333333,2.333333,B
4,4.75,1,0,0.5,B
4,5.25,1,0.25,1.5,B
6,5.666667,1,0.5,1.666667,B
5,5.8,1,0.4,1.2,B
5,6.6,1,0.4,1.8,B
6,5.333333,1,0.333333,1,B
5,5.6,1,0.4,3.2,B
4,5.5,1,0.5,2.25,B
6,6,1,0.5,2.166667,B
8,5,1,0.25,1.75,B
8,5.625,1,0.25,1.75,B
7,5.142857,1,0.285714,2.571429,B
6,5,1,0,0.666667,B
6,6.5,1,0.5,2.5,B
8,4.875,1,0.25,1.25,B
8,5.375,1,0.25,2,B
6,5,1,0.166667,1.166667,B
9,5,0.888889,0.222222,1.666667,B
8,5.125,1,0,2,B
6,6,1,0.166667,2.833333,B
6,7,1,0.833333,2.333333,B
5,5.4,1,0.2,1.6,B
7,5,1,0.285714,1.428571,B
6,6.166667,1,0.5,2.166667,B
6,6.5,1,0.333333,1.833333,B
7,5.142857,1,0.285714,2.142857,B
6,5.833333,1,0.333333,2,B
6,7.333333,1,0.833333,2.166667,B
8,4.75,1,0,2.625,B
7,6.857143,1,0.571429,1.857143,B
9,5.555556,1,0.444444,2.111111,B
8,5,1,0.125,2.375,B
7,5.428571,1,0.285714,2,B
7,4.857143,1,0.285714,1.571429,B
7,5.142857,1,0.142857,2,B
7,5.142857,1,0.142857,2,B
7,5.571429,1,0.285714,1.714286,B
6,7.333333,1,0.666667,2.333333,B
8,4.5,1,0.125,2,B
6,6.5,1,0.666667,2,B
6,5.166667,1,0,1.833333,B
6,5.666667,1,0.333333,2.333333,B
7,4.714286,1,0,1.857143,B
7,5.714286,1,0.142857,2.142857,B
7,5.857143,1,0.428571,2.285714,B
7,5.285714,1,0.285714,2.142857,B
7,5.714286,1,0.285714,2.571429,B
7,4.857143,1,0.142857,1.714286,B
9,5.222222,1,0.333333,1.555556,B
6,5.666667,1,0.333333,2,B
6,7,1,0.833333,2.166667,B
7,5.285714,1,0.285714,2.285714,B
5,6.4,1,0.6,2,B
6,6.166667,1,0.5,2.5,B
6,6.833333,1,0.5,2.333333,B
6,6.333333,1,0.333333,3.166667,B
6,5.833333,1,0.166667,1.833333,B
7,5.285714,1,0.285714,1.142857,B
7,5.428571,1,0.285714,2,B
7,5.714286,1,0.428571,1.428571,B
6,5.666667,1,0.333333,1.166667,B
7,5.428571,1,0.142857,2.428571,B
7,6.714286,1,0.428571,2.428571,B
6,5.166667,1,0.333333,2,B
6,5.833333,1,0.166667,2.333333,B
7,5.714286,1,0.571429,1.857143,B
9,4.444444,1,0,1.888889,B
